B_digital_(T)	B_analog_(T)	T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
4.83432E-1	4.44525E-1	2.99221E+2	2.99290E+2	9.99985E-5	1.40634E-5	1.40636E-1
4.96225E-1	4.56661E-1	2.99218E+2	2.99283E+2	9.99984E-5	1.40366E-5	1.40368E-1
5.08777E-1	4.68854E-1	2.99217E+2	2.99278E+2	9.99984E-5	1.40684E-5	1.40686E-1
5.21201E-1	4.80989E-1	2.99215E+2	2.99272E+2	9.99984E-5	1.40166E-5	1.40168E-1
5.33433E-1	4.93024E-1	2.99214E+2	2.99267E+2	9.99984E-5	1.40941E-5	1.40943E-1
5.46410E-1	5.05098E-1	2.99213E+2	2.99262E+2	9.99984E-5	1.40442E-5	1.40444E-1
5.59508E-1	5.17273E-1	2.99213E+2	2.99257E+2	9.99984E-5	1.39732E-5	1.39735E-1
5.71782E-1	5.29398E-1	2.99215E+2	2.99253E+2	9.99983E-5	1.40114E-5	1.40117E-1
5.84567E-1	5.41485E-1	2.99216E+2	2.99250E+2	9.99984E-5	1.40512E-5	1.40514E-1
5.97294E-1	5.53550E-1	2.99218E+2	2.99245E+2	9.99985E-5	1.40919E-5	1.40921E-1
6.10030E-1	5.65687E-1	2.99222E+2	2.99240E+2	9.99984E-5	1.40480E-5	1.40482E-1
6.22693E-1	5.77845E-1	2.99224E+2	2.99237E+2	9.99984E-5	1.40086E-5	1.40089E-1
6.35502E-1	5.89910E-1	2.99228E+2	2.99235E+2	9.99984E-5	1.39518E-5	1.39520E-1
6.48110E-1	6.01968E-1	2.99233E+2	2.99234E+2	9.99984E-5	1.40085E-5	1.40088E-1
6.60354E-1	6.14056E-1	2.99238E+2	2.99232E+2	9.99984E-5	1.40161E-5	1.40163E-1
6.73458E-1	6.26175E-1	2.99244E+2	2.99229E+2	9.99983E-5	1.41351E-5	1.41353E-1
6.85509E-1	6.38439E-1	2.99249E+2	2.99228E+2	9.99983E-5	1.41207E-5	1.41210E-1
6.97861E-1	6.50623E-1	2.99255E+2	2.99225E+2	9.99984E-5	1.40703E-5	1.40705E-1
7.10677E-1	6.62579E-1	2.99261E+2	2.99224E+2	9.99984E-5	1.41585E-5	1.41588E-1
7.23754E-1	6.73616E-1	2.99267E+2	2.99224E+2	9.99985E-5	1.41112E-5	1.41114E-1
7.36754E-1	6.85582E-1	2.99274E+2	2.99222E+2	9.99984E-5	1.40384E-5	1.40386E-1
7.49449E-1	6.98980E-1	2.99280E+2	2.99222E+2	9.99984E-5	1.40758E-5	1.40760E-1
7.62336E-1	7.11922E-1	2.99286E+2	2.99220E+2	9.99985E-5	1.40671E-5	1.40673E-1
7.74854E-1	7.24551E-1	2.99294E+2	2.99220E+2	9.99984E-5	1.40157E-5	1.40159E-1
7.87281E-1	7.36879E-1	2.99301E+2	2.99221E+2	9.99983E-5	1.40851E-5	1.40853E-1
7.99648E-1	7.49039E-1	2.99309E+2	2.99221E+2	9.99984E-5	1.40373E-5	1.40375E-1
8.12238E-1	7.61297E-1	2.99315E+2	2.99220E+2	9.99984E-5	1.39678E-5	1.39680E-1
8.25575E-1	7.73438E-1	2.99319E+2	2.99221E+2	9.99984E-5	1.39231E-5	1.39234E-1
8.37859E-1	7.85498E-1	2.99327E+2	2.99222E+2	9.99985E-5	1.38973E-5	1.38975E-1
8.51021E-1	7.97793E-1	2.99333E+2	2.99222E+2	9.99985E-5	1.39762E-5	1.39764E-1
8.63925E-1	8.10070E-1	2.99341E+2	2.99223E+2	9.99985E-5	1.39622E-5	1.39624E-1
8.75795E-1	8.22346E-1	2.99348E+2	2.99224E+2	9.99985E-5	1.39509E-5	1.39511E-1
8.88230E-1	8.34782E-1	2.99355E+2	2.99224E+2	9.99985E-5	1.39706E-5	1.39708E-1
9.01235E-1	8.47205E-1	2.99361E+2	2.99224E+2	9.99984E-5	1.40266E-5	1.40269E-1
9.14310E-1	8.59608E-1	2.99370E+2	2.99225E+2	9.99985E-5	1.39875E-5	1.39878E-1
9.26299E-1	8.72186E-1	2.99378E+2	2.99226E+2	9.99985E-5	1.38712E-5	1.38714E-1
9.39262E-1	8.84787E-1	2.99385E+2	2.99229E+2	9.99985E-5	1.38862E-5	1.38864E-1
9.52453E-1	8.97353E-1	2.99390E+2	2.99231E+2	9.99985E-5	1.39075E-5	1.39077E-1
9.64689E-1	9.10017E-1	2.99398E+2	2.99232E+2	9.99984E-5	1.40190E-5	1.40192E-1
9.77849E-1	9.22670E-1	2.99407E+2	2.99234E+2	9.99984E-5	1.40276E-5	1.40278E-1
9.90075E-1	9.35441E-1	2.99413E+2	2.99238E+2	9.99985E-5	1.38331E-5	1.38333E-1
9.98445E-1	9.47676E-1	2.99420E+2	2.99239E+2	9.99985E-5	1.37676E-5	1.37679E-1
1.00071E+0	9.57316E-1	2.99428E+2	2.99241E+2	9.99984E-5	1.39443E-5	1.39445E-1
1.00023E+0	9.63820E-1	2.99433E+2	2.99242E+2	9.99984E-5	1.40289E-5	1.40291E-1
1.00032E+0	9.67843E-1	2.99439E+2	2.99243E+2	9.99984E-5	1.40102E-5	1.40104E-1
